Periodo;4º trimestre;;
;;;;
;;;;
;;;;
;;ENTRADAS;;;;;;SALIDAS
;;;;
Fecha;Proveedor;Cantidad;Lote;;FECHA;Fabricacion;NºLote;Descripcion;Cantidad;
;;;;
21/11/2017;VALENALCOL SL;10000;;;03/10/2017;100L;L-223-17;PROTECTOR TERMICO PLANCHA;2;
31/12/2017;ALCOPRODIS SL;1000;;;03/10/2017;200L;L-223-17;GRANEL LACA;179,8;
;;;;;03/10/2017;900L;L-223-17;GRANEL LACA SPRAY FUERTE;493,1;
;;;;;04/10/2017;120L;L-223-17;GRANEL LACA ECO FUERTE;89,7;
;;;;;06/10/2017;500L;L-223-17;GRANEL LACA SP FIJ FLEXIB;353,38;
;;;;;10/10/2017;25L;L-223-17;GRANEL COLONIA FRESA PSH;10;
;;;;;11/10/2017;500L;L-223-17;GRANEL LACA;449,5;
;;;;;17/10/2017;1000L;L-223-17;GRANEL ESPUMA NORMAL;40;
;;;;;17/10/2017;200L;L-223-17;GRANEL LACA SP FIJ EXT-FT;67,68;
;;;;;18/10/2017;100L;L-223-17;MATERIAS PRIMAS;4;
;;;;;20/10/2017;240L;L-223-17;GRANEL LACA MORADA;215,74;
;;;;;20/10/2017;500L;L-223-17;GRANEL LACA ECO WOMAN;335,25;
;;;;;24/10/2017;50L;L-223-17;GRANEL CLEENER BLADE ICE;43,93;
;;;;;24/10/2017;600L;L-223-17;GRANEL LACA ECO WOMAN;402,3;
;;;;;25/10/2017;300L;L-223-17;LACA ECO UNISEX;201,06;
;;;;;26/10/2017;60L;L-223-17;GRANEL SECANTE DE UÑAS;39,94;
;;;;;26/10/2017;200L;L-223-17;GRANEL LACA SPRAY FUERTE;109,1;
;;;;;27/10/2017;100L;L-223-17;GRANEL GOMINA GEL AZUL;10;
;;;;;27/10/2017;1000L;L-223-17;GRANEL LACA ECO WOMAN;670,5;
;;;;;30/10/2017;50L;L-223-17;LACA ECO UNISEX;33,51;
;;;;;30/10/2017;450L;L-223-17;GRANEL LACA SPRAY FUERTE;246,55;
;;;;;02/11/2017;120L;L-223-17;GRANEL AMPOLLA ANTICAIDA;30;
;;;;;02/11/2017;240L;L-223-17;GRANEL QUITAESMALTE SIN A;37;
;;;;;06/11/2017;200L;L-223-17;GRANEL LACA CARAMELO;179,78;
;;;;;08/11/2017;1000L;L-223-17;GRANEL ESPUMA NORMAL;40;
;;;;;13/11/2017;600L;L-223-17;GRANEL LACA;539,4;
;;;;;13/11/2017;900L;L-223-17;GRANEL LACA SPRAY FUERTE;492,63;
;;;;;16/11/2017;120L;L-223-17;GRANEL LACA MEN AMADEO;64,02;
;;;;;16/11/2017;200L;L-223-17;GRANEL LACA ECO WOMAN;134,1;
;;;;;16/11/2017;150L;L-223-17;GRANEL LACA ECO PREMIUM;85,14;
;;;;;17/11/2017;50L;L-223-17;GRANEL LACA;44,95;
;;;;;17/11/2017;1000L;L-223-17;GRANEL LACA;899;
;;;;;21/11/2017;25L;L-308-17;GRANEL BRILLO SPRAY CAN;14,5;
;;;;;21/11/2017;2100L;L-308-17;GRANEL LACA SP FIJ FLEXIB;1484,18;
;;;;;22/11/2017;450L;L-308-17;GRANEL ESPUMA NORMAL OLVI;18;
;;;;;24/11/2017;900L;L-308-17;GRANEL LACA SPRAY FUERTE;489,66;
;;;;;27/11/2017;120L;L-308-17;GRANEL LACA ECO PREMIUM;64,05;
;;;;;29/11/2017;70L;L-308-17;GRANEL BRILLO SPRAY CAN;40,6;
;;;;;30/11/2017;60L;L-308-17;GRANEL AMPOLLA ANTICAIDA;15;
;;;;;01/12/2017;60L;L-308-17;GRANEL LACA SP FIJ EXT-FT;40,6;
;;;;;01/12/2017;175L;L-308-17;GRANEL LACA ECO MICAR SOL;154,35;
;;;;;04/12/2017;25L;L-308-17;GRANEL COLONIA COCO PSH;10;
;;;;;04/12/2017;25L;L-308-17;GRANEL COLONIA FRESA PSH;10;
;;;;;04/12/2017;25L;L-308-17;GRANEL COLONIA MELOCOTON;10;
;;;;;04/12/2017;25L;L-308-17;GRANEL COLONIA SANDIA PSH;10;
;;;;;11/12/2017;220L;L-308-17;GRANEL LACA ECO PREMIUM;128,1;
;;;;;11/12/2017;215L;L-308-17;LACA ECO UNISEX;134,04;
;;;;;11/12/2017;70L;L-308-17;GRANEL ESPUMA NORMAL;2,8;
;;;;;11/12/2017;100L;L-308-17;GRANEL LACA ECO CLOR MET;68,2;
;;;;;11/12/2017;100L;L-308-17;GRANEL SPRAY ANTIHUMEDAD;71,75;
;;;;;13/12/2017;200L;L-308-17;GRANEL GEL HIDROALCOHOLIC;100;
;;;;;14/12/2017;50L;L-308-17;GRANEL LACA SP FIJ EXT-FT;33,83;
;;;;;14/12/2017;640L;L-308-17;GRANEL LACA SPRAY FUERTE;328,8;
;;;;;14/12/2017;800L;L-308-17;GRANEL LACA;719,2;
;;;;;18/12/2017;1000L;L-308-17;GRANEL ESPUMA NORMAL;40;
;;;;;20/12/2017;200L;L-308-17;GRANEL PLIS ESPECIAL;56;
;;;;;21/12/2017;100L;L-308-17;GRANEL LACA SPRAY NORMAL;5;
;;;;;21/12/2017;700L;L-308-17;GRANEL LACA ECO WOMAN;469,25;
;;;;
;;;;
;;;;
;;Total;11000;;;;;Total;11060,97
;;;;
;;;;
;;;;
;;;;
Anterior;Entradas;Salidas;Saldo;;;;;;;
300,01;11000;11060,97;239,04;;;;;;
;;;;
;;;;
;;;;
